key,name,party
benedita-da-silva,Benedita da Silva,PT
marcelo-crivella,Marcelo Crivella,
pedro-paulo,Pedro Paulo,PSD
monica-benicio,Monica Benicio,PSOL
helio-secco,Hélio Secco,MISSÃO
marcio-canella,Márcio Canella,
waguinho,Waguinho,
carlos-portinho,Carlos Portinho,PL
carlos-jordy,Carlos Jordy,PL
claudio-castro,Cláudio Castro,PL
mauro-campos,Mauro Campos,NOVO
rodrigo-pimentel,Rodrigo Pimentel,
alessandro-molon,Alessandro Molon,PSB
rogeria-bolsonaro,Rogéria Bolsonaro,PL
otoni-de-paula,Otoni de Paula,PRTB
clarissa-garotinho,Clarissa Garotinho,
washington-reis,Washington Reis,MDB
